Time,A,B,C,D,E,F,G,H
0,0.057,0.059,0.052,0.068,0.041,0.039,0.033,0.04
715,0.079,0.074,0.065,0.098,0.052,0.051,0.046,0.054
1320,0.101,0.105,0.09,0.139,0.065,0.061,0.058,0.059
1505,0.113,0.113,0.096,0.151,0.076,0.073,0.058,0.114
2035,0.149,0.149,0.146,0.238,0.107,0.089,0.075,0.087
2755,0.235,0.29,0.24,0.505,0.173,0.151,0.107,0.123
3130,0.321,0.446,0.358,0.593,0.212,0.184,0.145,0.151
3475,0.36,0.501,0.414,0.635,0.255,0.225,0.175,0.164
4338,0.45,0.723,0.527,0.691,0.422,0.348,0.299,0.228
5058,0.479,0.809,0.572,0.734,0.453,0.425,0.454,0.265
6038,0.51,0.837,0.583,0.712,0.499,0.443,0.539,0.282