Time (min),10% Old,40% Old,50% Old,60% Old,10% New,009 Label
0,0.15,0.358,0.245,0.34,0.28,
320,0.17,0.323,0.291,0.318,0.26,
1050,0.21,,0.19,0.27,0.204,
1775,0.43,0.219,0.152,0.186,0.25,
2493,0.74,0.438,0.249,0.353,0.262,
3211,0.757,0.496,0.254,0.363,0.261,
3930,0.758,0.672,0.264,0.365,0.229,
4652,0.772,0.882,0.267,0.356,0.318,
5360,0.767,1.277,0.273,0.371,0.257,
6088,0.777,1.606,0.303,0.388,0.261,
6806,0.769,1.646,0.306,0.391,0.26,
9442,,,0.483,0.414,0.263,0.053
10527,,,0.615,0.423,0.213,0.063
11242,,,0.751,0.431,0.257,0.1
11962,,,0.896,0.438,0.261,0.137
12682,,,1.067,0.439,0.259,0.192
13405,,,1.197,0.385,0.26,0.227
14124,,,1.304,0.446,0.261,0.337
14854,,,1.444,0.452,0.258,0.48
15564,,,1.465,0.469,0.25,0.575
16286,,,1.509,0.465,0.254,0.719
16999,,,1.53,0.476,0.253,0.902
18439,,,1.577,0.475,0.254,1.206
19549,,,1.632,0.515,0.252,1.33
20659,,,1.624,0.539,0.25,1.279